vacancy_id,name,company_id,salary_from,salary_to,salary_currency,url
123473911,Администратор,866666,55000,75000,RUR,https://hh.ru/vacancy/123473911
124343078,Администратор-кассир,866666,54000,75000,RUR,https://hh.ru/vacancy/124343078
124283800,Кассир,866666,55000,,RUR,https://hh.ru/vacancy/124283800
121333816,Администратор-кассир (г. Самара),866666,60000,,RUR,https://hh.ru/vacancy/121333816
124266423,Оператор-кассир,866666,50000,,RUR,https://hh.ru/vacancy/124266423
119551776,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/119551776
124700259,Контролер,866666,,,,https://hh.ru/vacancy/124700259
124161479,Менеджер видеонаблюдения,866666,60000,70000,RUR,https://hh.ru/vacancy/124161479
124757052,Администратор-кассир,866666,50000,55000,RUR,https://hh.ru/vacancy/124757052
118941248,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/118941248
124699901,Администратор,866666,50000,80000,RUR,https://hh.ru/vacancy/124699901
124178165,Сотрудник охраны,866666,80000,,RUR,https://hh.ru/vacancy/124178165
125108626,Администратор-кассир букмекерского клуба,866666,70000,,RUR,https://hh.ru/vacancy/125108626
125232638,Кассир,866666,40800,,RUR,https://hh.ru/vacancy/125232638
124178083,Кассир,866666,100000,120000,RUR,https://hh.ru/vacancy/124178083
124723625,Оператор-кассир,866666,60000,,RUR,https://hh.ru/vacancy/124723625
124210368,Охранник-администратор (м. Юго-западная),866666,80000,,RUR,https://hh.ru/vacancy/124210368
101868745,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/101868745
90982511,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/90982511
117784687,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/117784687
123739068,Уборщица/уборщик в офис,866666,,,,https://hh.ru/vacancy/123739068
124161421,Оператор - контролер,866666,65000,80000,RUR,https://hh.ru/vacancy/124161421
124697453,Старший кассир,866666,72000,,RUR,https://hh.ru/vacancy/124697453
124228692,Администратор-кассир букмекерской конторы,866666,110000,,RUR,https://hh.ru/vacancy/124228692
124702173,Сотрудник охраны,866666,80000,,RUR,https://hh.ru/vacancy/124702173
122015498,Администратор-кассир букмекерского клуба (г. Самара),866666,60000,,RUR,https://hh.ru/vacancy/122015498
124756655,Кассир,866666,70000,100000,RUR,https://hh.ru/vacancy/124756655
124448025,Сотрудник охраны,866666,45000,,RUR,https://hh.ru/vacancy/124448025
120074123,Администратор-кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/120074123
122814712,Водитель контролер,866666,80000,150000,RUR,https://hh.ru/vacancy/122814712
124375377,Администратор-кассир букмекерского клуба,866666,70000,,RUR,https://hh.ru/vacancy/124375377
